"filename", "language", "Properties", "SQL", "PHP", "CSS", "Markdown", "JSON", "JavaScript", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\libraries\jquery\jquery-3.5.1.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\classes\Account.php", "PHP", 0, 0, 313, 0, 0, 0, 0, 0, 0, 111, 64, 488
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\classes\Database.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\classes\Game.php", "PHP", 0, 0, 199, 0, 0, 0, 0, 0, 0, 87, 41, 327
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\classes\HeadBuilder.php", "PHP", 0, 0, 171, 0, 0, 0, 0, 0, 0, 82, 26, 279
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\classes\Utils.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 0, 0, 17, 10, 73
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\auth.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 13, 40
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\cards.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\close.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\create.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\delete.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\drawcard.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 8, 30
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\gamedata.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 8, 39
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\games.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 12, 57
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\invite.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\NoSpread\Dropbox\Gruppenarbeiten\PlanningPoker\src\assets\php\logic\join.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
